t,mode,phase,target1,target2,actual1,actual2,duty1,duty2,v_batt,a1,a2,ff
0.0,software,tgt=500,500,-500,0.0,0.0,208,-208,13.2,,,
0.0409,software,tgt=500,500,-500,0.0,0.0,220,-220,13.2,,,
0.0615,software,tgt=500,500,-500,0.0,0.0,226,-226,13.2,,,
0.0819,software,tgt=500,500,-500,0.0,0.0,232,-232,13.2,,,
0.1024,software,tgt=500,500,-500,0.0,0.0,238,-238,13.2,,,
0.1229,software,tgt=500,500,-500,0.0,0.0,245,-245,13.2,,,
0.1438,software,tgt=500,500,-500,0.0,0.0,251,-251,13.2,,,
0.1643,software,tgt=500,500,-500,0.0,0.0,257,-257,13.2,,,
0.1847,software,tgt=500,500,-500,0.0,0.0,263,-263,13.2,,,
0.205,software,tgt=500,500,-500,0.0,0.0,269,-269,13.2,,,
0.2253,software,tgt=500,500,-500,0.0,0.0,282,-282,12.7,,,
0.266,software,tgt=500,500,-500,0.0,0.0,294,-294,12.7,,,
0.2865,software,tgt=500,500,-500,0.0,0.0,300,-300,12.7,,,
0.3071,software,tgt=500,500,-500,0.0,0.0,306,-306,12.7,,,
0.3277,software,tgt=500,500,-500,0.0,0.0,312,-312,12.7,,,
0.3482,software,tgt=500,500,-500,0.0,0.0,318,-318,12.7,,,
0.3688,software,tgt=500,500,-500,0.0,0.0,325,-325,12.7,,,
0.3894,software,tgt=500,500,-500,0.0,0.0,331,-331,12.7,,,
0.4099,software,tgt=500,500,-500,0.0,0.0,337,-337,12.7,,,
0.4302,software,tgt=500,500,-500,0.0,0.0,343,-343,12.7,,,
0.4507,software,tgt=500,500,-500,0.0,0.0,350,-350,12.6,,,
0.4915,software,tgt=500,500,-500,0.0,0.0,363,-363,12.6,,,
0.5121,software,tgt=500,500,-500,0.0,0.0,369,-369,12.6,,,
0.5327,software,tgt=500,500,-500,0.0,0.0,375,-375,12.6,,,
0.5532,software,tgt=500,500,-500,0.0,0.0,381,-381,12.6,,,
