t,phase,cmd_lin,cmd_ang,odom_v,odom_w,filt_v,filt_w,imu_yaw,amcl_x,amcl_y,amcl_yaw,v_batt,a1,a2,ba1,ba2,rpm1,rpm2,ff
0.0007,idle,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,
0.0513,idle,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,
0.1018,idle,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,
0.1527,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,,,,,
0.2031,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
0.2534,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
0.304,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
0.3545,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.4049,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.456,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.5065,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.5568,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.6077,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.6582,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.7086,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.7592,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.8095,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.8599,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.9107,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.9611,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.0115,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.062,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.1124,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.1627,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.2139,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.2644,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.3148,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.3657,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.4169,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.4672,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.5184,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.5688,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.6191,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.6699,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.7205,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.7708,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.8223,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.8731,idle,0.0,0.0,0.0,0.0,,,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.9237,idle,0.0,0.0,0.0,0.0,,,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.9741,idle,0.0,0.0,0.0,0.0,,,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.025,idle,0.0,0.0,0.0,0.0,,,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.0755,idle,0.0,0.0,0.0,0.0,,,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.1258,idle,0.0,0.0,0.0,0.0,,,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.1761,idle,0.0,0.0,0.0,0.0,,,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.2269,idle,0.0,0.0,0.0,0.0,,,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.2775,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.3282,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.3786,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
2.4289,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
2.48,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
2.5307,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
2.5813,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
2.6318,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.6823,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.7332,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.7839,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.8344,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.8851,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.9356,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.9868,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
3.0374,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
