t,phase,cmd_lin,cmd_ang,odom_v,odom_w,filt_v,filt_w,imu_yaw,amcl_x,amcl_y,amcl_yaw,clearance,v_batt,a1,a2,ba1,ba2,rpm1,rpm2,ff
2.4132,dir_fwd,0.3,0.0,0.0,0.0,-0.0,0.0,1.353,,,0.0,0.936,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.4641,dir_fwd,0.3,0.0,0.0,0.0,-0.0,0.0,1.353,,,0.0,0.936,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.5153,dir_fwd,0.3,0.0,0.0,0.0,-0.0,0.0,1.353,,,0.0,0.936,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.5662,dir_fwd,0.3,0.0,0.0,0.0,-0.0,0.0,1.353,,,0.0,0.936,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.6177,dir_fwd,0.3,0.0,0.0,0.0,-0.0,0.0,1.353,,,0.0,0.936,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.669,dir_fwd,0.3,0.0,0.0,0.0,-0.0,0.0,1.353,,,0.0,0.914,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.72,dir_fwd,0.3,0.0,0.0,0.0,-0.0,0.0,1.353,,,0.0,0.914,13.3,0.1,0.0,-0.1,0.0,0.0,0.0,0
2.7708,dir_fwd,0.3,0.0,0.0,0.0,-0.0,0.0,1.353,,,0.0,0.914,13.3,0.1,0.0,-0.1,0.0,0.0,0.0,0
2.822,dir_fwd,0.3,0.0,0.0,-0.0289,-0.0,0.0,1.353,,,0.0,0.914,13.3,0.1,0.0,-0.1,0.0,0.0,0.0,0
2.8733,dir_fwd,0.3,0.0,0.0,-0.0289,-0.0,-0.003,1.353,,,0.0,0.914,13.3,0.1,0.0,-0.1,0.0,0.0,0.0,0
2.9244,dir_fwd,0.3,0.0,0.0,-0.0289,-0.0,-0.003,1.3528,,,0.0,0.914,13.3,0.1,0.0,-0.1,0.0,0.0,0.0,0
2.9754,dir_fwd,0.3,0.0,0.0,-0.0289,-0.0,-0.003,1.3528,,,0.0,0.904,13.3,0.1,0.0,-0.1,0.0,0.0,0.0,0
3.0268,dir_fwd,0.3,0.0,0.0,-0.0289,-0.0,-0.003,1.3528,,,0.0,0.904,10.8,-6.1,4.2,6.5,8.0,-313.0,-304.0,0
3.078,dir_fwd,0.3,0.0,0.0,-0.0289,-0.0,-0.003,1.3528,,,0.0,0.904,10.8,-6.1,4.2,6.5,8.0,-313.0,-304.0,0
3.1296,dir_fwd,0.3,0.0,0.0174,-0.0868,-0.0,-0.003,1.3528,,,0.0,0.904,10.8,-6.1,4.2,6.5,8.0,-313.0,-304.0,0
3.1809,dir_fwd,0.3,0.0,0.0174,-0.0868,0.0175,-0.031,1.3528,,,0.0,0.904,10.8,-6.1,4.2,6.5,8.0,-313.0,-304.0,0
3.2318,dir_fwd,0.0,0.0,0.0174,-0.0868,0.0175,-0.031,1.345,,,0.0,inf,10.8,-6.1,4.2,6.5,8.0,-313.0,-304.0,0
3.2323,dir_rev,-0.3,0.0,0.0174,-0.0868,0.0175,-0.031,1.345,-3.98,-2.9827,-1.4841,2.306,10.8,-6.1,4.2,6.5,8.0,-313.0,-304.0,0
3.2833,dir_rev,-0.3,0.0,0.0174,-0.0868,0.0175,-0.031,1.345,-3.98,-2.9827,-1.4841,2.338,10.8,-6.1,4.2,6.5,8.0,-313.0,-304.0,0
3.3347,dir_rev,-0.3,0.0,0.0174,-0.0868,0.0175,-0.031,1.345,-3.98,-2.9827,-1.4841,2.338,11.8,-12.1,12.3,2.8,7.3,-313.0,-240.0,0
3.3854,dir_rev,-0.3,0.0,0.0174,-0.0868,0.0175,-0.031,1.345,-3.98,-2.9827,-1.4841,2.338,11.8,-12.1,12.3,2.8,7.3,-313.0,-240.0,0
3.4369,dir_rev,-0.3,0.0,0.0261,-0.1303,0.0175,-0.031,1.345,-3.98,-2.9827,-1.4841,2.338,11.8,-12.1,12.3,2.8,7.3,-313.0,-240.0,0
3.4881,dir_rev,-0.3,0.0,0.0261,-0.1303,0.0261,-0.0721,1.345,-3.98,-2.9827,-1.4841,2.338,11.8,-12.1,12.3,2.8,7.3,-313.0,-240.0,0
3.5396,dir_rev,-0.3,0.0,0.0261,-0.1303,0.0261,-0.0721,1.3275,-3.98,-2.9827,-1.4841,2.338,11.8,-12.1,12.3,2.8,7.3,-313.0,-240.0,0
3.5906,dir_rev,-0.3,0.0,0.0261,-0.1303,0.0261,-0.0721,1.3275,-3.9661,-3.086,-1.4643,2.338,11.8,-12.1,12.3,2.8,7.3,-313.0,-240.0,0
3.6418,dir_rev,-0.3,0.0,0.0261,-0.1303,0.0261,-0.0721,1.3275,-3.9661,-3.086,-1.4643,1.917,11.8,-12.1,12.3,2.8,7.3,-313.0,-240.0,0
3.6929,dir_rev,-0.3,0.0,0.0261,-0.1303,0.0261,-0.0721,1.3275,-3.9661,-3.086,-1.4643,1.917,11.6,-7.1,10.2,1.6,6.4,-351.0,-401.0,0
3.7438,dir_rev,-0.3,0.0,0.0261,-0.1303,0.0261,-0.0721,1.3275,-3.9661,-3.086,-1.4643,1.917,11.6,-7.1,10.2,1.6,6.4,-351.0,-401.0,0
3.7952,dir_rev,-0.3,0.0,0.0723,-0.1881,0.0261,-0.0721,1.3275,-3.9661,-3.086,-1.4643,1.917,11.6,-7.1,10.2,1.6,6.4,-351.0,-401.0,0
3.8462,dir_rev,-0.3,0.0,0.0723,-0.1881,0.0269,-0.1002,1.3275,-3.9661,-3.086,-1.4643,1.917,11.6,-7.1,10.2,1.6,6.4,-351.0,-401.0,0
3.8973,dir_rev,-0.3,0.0,0.0723,-0.1881,0.0269,-0.1002,1.3093,-3.9661,-3.086,-1.4643,1.917,11.6,-7.1,10.2,1.6,6.4,-351.0,-401.0,0
