t,phase,cmd_lin,cmd_ang,odom_v,odom_w,filt_v,filt_w,imu_yaw,amcl_x,amcl_y,amcl_yaw,v_batt,a1,a2,ba1,ba2,rpm1,rpm2,ff
0.0004,idle,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,
0.0508,idle,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,
0.1012,idle,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,
0.152,idle,0.0,0.0,,,,,1.4395,,,0.0,,,,,,,,
0.2022,idle,0.0,0.0,,,,,1.4395,,,0.0,,,,,,,,
0.253,idle,0.0,0.0,,,,,1.4395,,,0.0,,,,,,,,
0.3033,idle,0.0,0.0,,,,,1.4395,,,0.0,,,,,,,,
0.354,idle,0.0,0.0,,,,,1.4395,,,0.0,,,,,,,,
0.4042,idle,0.0,0.0,,,,,1.4395,,,0.0,,,,,,,,
0.4549,idle,0.0,0.0,,,,,1.4395,,,0.0,,,,,,,,
0.5051,idle,0.0,0.0,,,,,1.4395,,,0.0,,,,,,,,
0.5558,idle,0.0,0.0,,,,,1.4395,,,0.0,,,,,,,,
0.6061,idle,0.0,0.0,,,,,1.4395,,,0.0,,,,,,,,
0.6566,idle,0.0,0.0,,,,,1.4395,,,0.0,,,,,,,,
0.7069,idle,0.0,0.0,,,,,1.4395,,,0.0,,,,,,,,
0.7577,idle,0.0,0.0,,,,,1.4395,,,0.0,,,,,,,,
0.808,idle,0.0,0.0,,,,,1.4395,,,0.0,,,,,,,,
0.8586,idle,0.0,0.0,,,,,1.4395,,,0.0,,,,,,,,
0.9089,idle,0.0,0.0,,,,,1.4395,,,0.0,,,,,,,,
0.9598,idle,0.0,0.0,,,,,1.4395,,,0.0,,,,,,,,
1.0101,idle,0.0,0.0,,,,,1.4395,,,0.0,,,,,,,,
1.0611,idle,0.0,0.0,,,-0.0,-0.0,1.4395,,,0.0,,,,,,,,
1.1117,idle,0.0,0.0,,,-0.0,-0.0,1.4395,,,0.0,,,,,,,,
1.1622,idle,0.0,0.0,,,-0.0,-0.0,1.4395,,,0.0,,,,,,,,
1.2132,idle,0.0,0.0,,,-0.0,-0.0,1.4395,,,0.0,,,,,,,,
1.2638,idle,0.0,0.0,,,-0.0,-0.0,1.4395,,,0.0,,,,,,,,
1.3141,idle,0.0,0.0,,,-0.0,-0.0,1.4395,,,0.0,,,,,,,,
1.365,idle,0.0,0.0,,,-0.0,-0.0,1.4395,,,0.0,,,,,,,,
1.4156,idle,0.0,0.0,,,-0.0,-0.0,1.4395,,,0.0,,,,,,,,
1.4659,idle,0.0,0.0,,,-0.0,-0.0,1.4395,,,0.0,,,,,,,,
1.5169,idle,0.0,0.0,,,-0.0,-0.0,1.4395,,,0.0,,,,,,,,
1.5674,idle,0.0,0.0,,,-0.0,-0.0,1.4395,,,0.0,,,,,,,,
1.6178,idle,0.0,0.0,,,-0.0,-0.0,1.4395,,,0.0,,,,,,,,
1.6686,idle,0.0,0.0,,,-0.0,-0.0,1.4395,,,0.0,,,,,,,,
1.7192,idle,0.0,0.0,,,-0.0,-0.0,1.4395,,,0.0,,,,,,,,
1.7695,idle,0.0,0.0,,,-0.0,-0.0,1.4395,,,0.0,,,,,,,,
1.8205,idle,0.0,0.0,,,-0.0,-0.0,1.4395,,,0.0,,,,,,,,
1.8711,idle,0.0,0.0,,,-0.0,-0.0,1.4395,,,0.0,,,,,,,,
1.9214,idle,0.0,0.0,,,-0.0,-0.0,1.4395,,,0.0,,,,,,,,
1.972,idle,0.0,0.0,,,-0.0,-0.0,1.4395,,,0.0,,,,,,,,
2.0225,idle,0.0,0.0,,,-0.0,-0.0,1.4395,,,0.0,,,,,,,,
2.0728,idle,0.0,0.0,,,-0.0,-0.0,1.4395,,,0.0,,,,,,,,
