t,phase,cmd_lin,cmd_ang,odom_v,odom_w,filt_v,filt_w,imu_yaw,amcl_x,amcl_y,amcl_yaw,clearance,v_batt,a1,a2,ba1,ba2,rpm1,rpm2,ff
0.1194,dir_fwd,0.3,0.0,0.0,0.0,,,0.0,,,0.0,2.487,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.1706,dir_fwd,0.3,0.0,0.0,0.0,,,0.0,,,0.0,2.487,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.2214,dir_fwd,0.3,0.0,0.0,0.0,,,0.0,,,0.0,2.487,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.2729,dir_fwd,0.3,0.0,0.0,0.0,,,0.0,,,0.0,2.487,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.3245,dir_fwd,0.3,0.0,0.0,0.0,,,0.0,,,0.0,2.469,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.3758,dir_fwd,0.3,0.0,0.0,0.0,,,0.0,,,0.0,2.469,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.4269,dir_fwd,0.3,0.0,0.0,0.0,,,0.0,,,0.0,2.469,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.4788,dir_fwd,0.3,0.0,0.0,0.0,,,0.0,,,0.0,2.469,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.5303,dir_fwd,0.3,0.0,0.0,0.0,,,0.0,,,0.0,2.481,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.5811,dir_fwd,0.3,0.0,0.0,0.0,,,0.0,,,0.0,2.481,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.6319,dir_fwd,0.3,0.0,0.0,0.0,,,0.0,,,0.0,2.481,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.6829,dir_fwd,0.3,0.0,0.0,0.0,,,0.0,,,0.0,2.481,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.7338,dir_fwd,0.3,0.0,0.0,0.0,,,0.0,,,0.0,2.467,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.7848,dir_fwd,0.3,0.0,0.0,0.0,,,0.0,,,0.0,2.467,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.8355,dir_fwd,0.3,0.0,0.0,0.0,,,0.0,,,0.0,2.467,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.8867,dir_fwd,0.3,0.0,0.0,0.0,,,0.0,,,0.0,2.467,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.9372,dir_fwd,0.0,0.0,0.0,0.0,,,0.0,,,0.0,inf,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.9377,dir_rev,-0.3,0.0,0.0,0.0,,,0.0,,,0.0,3.126,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.9884,dir_rev,-0.3,0.0,0.0,0.0,,,0.0,,,0.0,3.126,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.0395,dir_rev,-0.3,0.0,0.0,0.0,,,0.0,,,0.0,3.126,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.0905,dir_rev,-0.3,0.0,0.0,0.0,,,0.0,,,0.0,3.104,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.1414,dir_rev,-0.3,0.0,0.0,0.0,,,0.0,,,0.0,3.104,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.1925,dir_rev,-0.3,0.0,0.0,0.0,,,0.0,,,0.0,3.104,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.2437,dir_rev,-0.3,0.0,0.0,0.0,,,0.0,,,0.0,3.104,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.2946,dir_rev,-0.3,0.0,0.0,0.0,,,0.0,,,0.0,3.11,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.3455,dir_rev,-0.3,0.0,0.0,0.0,,,0.0,,,0.0,3.11,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.3963,dir_rev,-0.3,0.0,0.0,0.0,,,0.0,,,0.0,3.11,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.4475,dir_rev,-0.3,0.0,0.0,0.0,,,0.0,,,0.0,3.11,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.4984,dir_rev,-0.3,0.0,0.0,0.0,,,0.0,,,0.0,1.218,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.5492,dir_rev,-0.3,0.0,0.0,0.0,,,0.0,,,0.0,1.218,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.6002,dir_rev,-0.3,0.0,0.0,0.0,,,0.0,,,0.0,1.218,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.6512,dir_rev,-0.3,0.0,0.0,0.0,,,0.0,,,0.0,1.218,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.7025,dir_rev,-0.3,0.0,0.0,0.0,,,0.0,,,0.0,3.116,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.7535,dir_rev,0.0,0.0,0.0,0.0,,,0.0,,,0.0,inf,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.7538,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,inf,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.8047,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,inf,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.8553,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,inf,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.9058,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,inf,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
1.9562,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,inf,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.0072,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,inf,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.0578,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,inf,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.1083,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,inf,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
2.1586,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,inf,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
2.2094,idle,0.0,0.0,0.0,0.0,,,0.0,,,0.0,inf,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
2.2599,idle,0.0,0.0,0.0,0.0,,,1.3933,,,0.0,inf,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
2.3106,idle,0.0,0.0,0.0,0.0,,,1.3933,,,0.0,inf,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
2.3613,idle,0.0,0.0,0.0,0.0,,,1.3933,,,0.0,inf,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.4116,idle,0.0,0.0,0.0,0.0,,,1.3933,,,0.0,inf,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.4629,idle,0.0,0.0,0.0,0.0,,,1.3933,,,0.0,inf,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
