t,phase,cmd_lin,cmd_ang,odom_v,odom_w,filt_v,filt_w,imu_yaw,amcl_x,amcl_y,amcl_yaw,clearance,v_batt,a1,a2,ba1,ba2,rpm1,rpm2,ff
0.215,dir_fwd,0.15,0.0,0.0,0.0,-0.0,-0.0,0.0,,,0.0,1.706,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
0.2664,dir_fwd,0.15,0.0,0.0,0.0,-0.0,-0.0,0.0,,,0.0,1.706,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
0.3176,dir_fwd,0.15,0.0,0.0,0.0,-0.0,-0.0,0.0,,,0.0,1.706,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
0.3696,dir_fwd,0.15,0.0,0.0,0.0,-0.0,-0.0,0.0,,,0.0,1.706,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
0.4215,dir_fwd,0.15,0.0,0.0,0.0,-0.0,-0.0,0.0,,,0.0,1.706,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
0.4727,dir_fwd,0.15,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,1.706,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
0.5239,dir_fwd,0.15,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,1.71,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
0.5753,dir_fwd,0.15,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,1.71,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
0.6265,dir_fwd,0.15,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,1.71,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
0.6783,dir_fwd,0.15,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,1.71,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
0.7293,dir_fwd,0.15,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,1.71,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
0.7802,dir_fwd,0.15,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,1.71,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
0.8308,dir_fwd,0.0,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,inf,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
0.8312,dir_rev,-0.15,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,1.224,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
0.8824,dir_rev,-0.15,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,1.224,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
0.9342,dir_rev,-0.15,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,1.224,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
0.9853,dir_rev,-0.15,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,1.224,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.0369,dir_rev,-0.15,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,1.224,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.0879,dir_rev,-0.15,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,1.236,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.1394,dir_rev,-0.15,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,1.236,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.1908,dir_rev,-0.15,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,1.236,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.2426,dir_rev,-0.15,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,1.236,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.2936,dir_rev,-0.15,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,1.236,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.3448,dir_rev,-0.15,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,1.236,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.3957,dir_rev,-0.15,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,1.23,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.4466,dir_rev,0.0,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,inf,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.4467,idle,0.0,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,inf,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.4974,idle,0.0,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,inf,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.5478,idle,0.0,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,inf,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.5982,idle,0.0,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,inf,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.6485,idle,0.0,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,inf,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.6989,idle,0.0,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,inf,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.7492,idle,0.0,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,inf,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.7999,idle,0.0,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,inf,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.8505,idle,0.0,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,inf,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.901,idle,0.0,0.0,0.0,0.0,-0.0,-0.0,1.4543,,,0.0,inf,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
1.9514,idle,0.0,0.0,0.0,0.0,-0.0,-0.0,1.4543,-4.5807,-1.8085,-1.3481,inf,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
2.0019,idle,0.0,0.0,0.0,0.0,-0.0,-0.0,1.4543,-4.5807,-1.8085,-1.3481,inf,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
2.0523,idle,0.0,0.0,0.0,0.0,-0.0,-0.0,1.4543,-4.5807,-1.8085,-1.3481,inf,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.1028,idle,0.0,0.0,0.0,0.0,-0.0,-0.0,1.4543,-4.5807,-1.8085,-1.3481,inf,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.1538,idle,0.0,0.0,0.0,0.0,-0.0,-0.0,1.4543,-4.5807,-1.8085,-1.3481,inf,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.2045,idle,0.0,0.0,0.0,0.0,-0.0,-0.0,1.4543,-4.5807,-1.8085,-1.3481,inf,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
