t,wall,phase,label,cmd1,cmd2,cb1,cb2,bs1,bs2,a1,a2,ba1,ba2,v_batt,v_int,v_5v,t_mcu,ff
0.0003,2026-09-25T14:44:55.143,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.014,30.0,0.0
0.0105,2026-09-25T14:44:55.153,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.013,30.0,0.0
0.0207,2026-09-25T14:44:55.163,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.013,30.0,0.0
0.0308,2026-09-25T14:44:55.173,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.013,30.0,0.0
0.0411,2026-09-25T14:44:55.183,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.013,30.0,0.0
0.0512,2026-09-25T14:44:55.194,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.013,30.0,0.0
0.0613,2026-09-25T14:44:55.204,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.013,30.0,0.0
0.0715,2026-09-25T14:44:55.214,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.013,30.0,0.0
0.0816,2026-09-25T14:44:55.224,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.013,30.0,0.0
0.0917,2026-09-25T14:44:55.234,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.013,30.0,0.0
0.1018,2026-09-25T14:44:55.245,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.013,30.0,0.0
0.1124,2026-09-25T14:44:55.255,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.013,30.0,0.0
0.1225,2026-09-25T14:44:55.265,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.013,30.0,0.0
0.1327,2026-09-25T14:44:55.275,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.013,30.0,0.0
0.1428,2026-09-25T14:44:55.285,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.013,30.0,0.0
0.153,2026-09-25T14:44:55.295,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.033,30.0,0.0
0.1631,2026-09-25T14:44:55.305,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.033,30.0,0.0
0.1733,2026-09-25T14:44:55.316,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.033,30.0,0.0
0.1835,2026-09-25T14:44:55.326,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.033,30.0,0.0
0.1936,2026-09-25T14:44:55.336,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.2,13.8,5.033,30.0,0.0
