t,x,y,v,w,rpm1,rpm2,ff,V
2.362,-6.9459,-4.2258,0.0,0.0,,,,
2.362,-6.9459,-4.2258,0.0,0.0,,,,
2.363,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.3
2.363,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.3
2.376,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.3
2.376,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.2
2.426,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.2
2.436,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.2
2.437,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.3
2.487,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.3
2.496,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.3
2.496,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.3
2.547,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.3
2.556,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.3
2.556,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.2
2.606,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.2
2.616,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.2
2.616,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.3
2.666,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.3
2.676,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.3
2.677,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.2
2.727,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.2
2.738,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.2
2.739,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.2
2.79,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.2
2.796,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.2
